gtime,period,x,y,result
2.450000000000003,1,-0.4489583333333333,0,missed
4.083333333333336,1,-0.4149305555555555,1,made
4.350000000000001,1,-0.409375,0,missed
10.399999999999999,1,-0.2833333333333334,1,made
11.516666666666666,1,-0.26006944444444446,0,missed
20.96666666666667,2,-0.0631944444444444,0,missed
21.983333333333334,2,-0.04201388888888887,1,made
22.3,2,-0.03541666666666665,1,made
23.166666666666668,2,-0.017361111111111088,0,missed
25,3,0.020833333333333332,0,missed
25.483333333333334,3,0.030902777777777796,1,made
29.083333333333332,3,0.10590277777777775,0,missed
31.083333333333332,3,0.14756944444444442,0,missed
40.21666666666667,4,0.33784722222222224,0,missed
43.666666666666664,4,0.40972222222222227,1,made
45.833333333333336,4,0.4548611111111111,1,made
46.6,4,0.4708333333333334,0,missed
0.75,1,-0.484375,0,missed
1.8833333333333329,1,-0.4607638888888889,0,missed
3.6000000000000014,1,-0.425,0,missed
5.200000000000003,1,-0.3916666666666666,0,missed
8.116666666666667,1,-0.33090277777777777,0,missed
9.399999999999999,1,-0.3041666666666667,0,missed
11.416666666666664,1,-0.26215277777777785,1,made
11.966666666666669,1,-0.2506944444444444,0,missed
24.55,3,0.011458333333333348,0,missed
25.733333333333334,3,0.03611111111111113,0,missed
26.05,3,0.04270833333333335,0,missed
29.433333333333334,3,0.11319444444444444,0,missed
31,3,0.14583333333333334,1,made
33.666666666666664,3,0.20138888888888887,1,made
34.55,3,0.2197916666666667,0,missed
35.233333333333334,3,0.23402777777777775,1,made
35.45,3,0.23854166666666665,1,made
39.8,4,0.32916666666666666,1,made
40.75,4,0.3489583333333333,1,made
41.53333333333333,4,0.36527777777777776,0,missed
43.71666666666667,4,0.41076388888888893,1,made
44.95,4,0.43645833333333334,0,missed
45.36666666666667,4,0.4451388888888889,0,missed
46.78333333333333,4,0.4746527777777778,1,made
47.53333333333333,4,0.4902777777777778,1,made
1.6166666666666671,1,-0.46631944444444445,1,made
3.183333333333337,1,-0.43368055555555546,1,made
6.516666666666666,1,-0.36423611111111115,1,made
9.483333333333334,1,-0.30243055555555554,1,made
16.983333333333334,2,-0.14618055555555554,0,missed
18.28333333333333,2,-0.11909722222222226,0,missed
18.46666666666667,2,-0.11527777777777774,0,missed
19.25,2,-0.09895833333333333,0,missed
19.766666666666666,2,-0.08819444444444446,0,missed
20.166666666666668,2,-0.07986111111111109,0,missed
20.95,2,-0.06354166666666668,0,missed
23.983333333333334,2,-3.472222222222025e-4,1,made
26.1,3,0.04375000000000003,0,missed
29.6,3,0.1166666666666667,0,missed
30.733333333333334,3,0.1402777777777778,0,missed
34.36666666666667,3,0.21597222222222223,0,missed
35.416666666666664,3,0.2378472222222222,1,made
40.68333333333334,4,0.34756944444444443,0,missed
40.7,4,0.34791666666666665,1,made
41.43333333333334,4,0.36319444444444443,1,made
42.88333333333333,4,0.39340277777777777,1,made
43.95,4,0.41562499999999997,1,made
44.45,4,0.42604166666666665,1,made
45.4,4,0.4458333333333333,0,missed
3.6000000000000014,1,-0.425,0,missed
5.700000000000003,1,-0.3812499999999999,0,missed
8.649999999999999,1,-0.3197916666666667,1,made
11.483333333333334,1,-0.26076388888888885,1,made
20.366666666666667,2,-0.07569444444444444,1,made
21.21666666666667,2,-0.05798611111111107,0,missed
23.416666666666668,2,-0.012152777777777754,0,missed
23.916666666666668,2,-0.0017361111111110865,0,missed
34.55,3,0.2197916666666667,1,made
35.45,3,0.23854166666666665,0,missed
39.516666666666666,4,0.3232638888888889,0,missed
40,4,0.3333333333333333,1,made
41.483333333333334,4,0.36423611111111115,0,missed
44.45,4,0.42604166666666665,0,missed
1.3999999999999986,1,-0.4708333333333334,0,missed
1.9833333333333343,1,-0.45868055555555554,1,made
4.149999999999999,1,-0.4135416666666667,0,missed
6.216666666666669,1,-0.37048611111111107,0,missed
7.75,1,-0.3385416666666667,0,missed
9.983333333333334,1,-0.29201388888888885,1,made
16.85,2,-0.1489583333333333,1,made
18.75,2,-0.109375,1,made
19.25,2,-0.09895833333333333,1,made
21.116666666666667,2,-0.06006944444444443,0,missed
27.21666666666667,3,0.06701388888888893,0,missed
28.883333333333333,3,0.1017361111111111,0,missed
28.96666666666667,3,0.10347222222222226,1,made
31.15,3,0.1489583333333333,0,missed
32.56666666666666,3,0.17847222222222223,1,made
33.733333333333334,3,0.2027777777777778,1,made
34.916666666666664,3,0.22743055555555555,0,missed
40.7,4,0.34791666666666665,0,missed
47.233333333333334,4,0.4840277777777778,1,made
47.61666666666667,4,0.4920138888888889,0,missed
1.7166666666666686,1,-0.46423611111111107,0,missed
4.049999999999997,1,-0.4156250000000001,1,made
5.733333333333334,1,-0.38055555555555554,1,made
8.883333333333333,1,-0.31493055555555555,0,missed
19.116666666666667,2,-0.1017361111111111,0,missed
19.133333333333333,2,-0.1013888888888889,0,missed
19.683333333333334,2,-0.08993055555555556,1,made
20.46666666666667,2,-0.07361111111111107,0,missed
22.216666666666665,2,-0.03715277777777781,1,made
22.7,2,-0.027083333333333348,0,missed
23.183333333333334,2,-0.017013888888888884,0,missed
23.45,2,-0.011458333333333348,0,missed
25.316666666666666,3,0.027430555555555552,0,missed
27.366666666666667,3,0.0701388888888889,1,made
29.05,3,0.10520833333333335,1,made
29.633333333333333,3,0.1173611111111111,1,made
29.766666666666666,3,0.12013888888888886,1,made
30.75,3,0.140625,1,made
31.933333333333334,3,0.16527777777777777,0,missed
32.666666666666664,3,0.18055555555555555,1,made
33.083333333333336,3,0.18923611111111113,0,missed
33.45,3,0.196875,1,made
35.916666666666664,3,0.24826388888888887,1,made
41.016666666666666,4,0.35451388888888885,0,missed
41.53333333333333,4,0.36527777777777776,1,made
43.31666666666666,4,0.40243055555555557,0,missed
44.46666666666667,4,0.42638888888888893,0,missed
45.13333333333333,4,0.44027777777777777,0,missed
46.05,4,0.45937500000000003,0,missed
46.36666666666667,4,0.46597222222222223,0,missed
47.36666666666667,4,0.48680555555555555,1,made
47.9,4,0.4979166666666666,0,missed
1.1833333333333371,1,-0.47534722222222214,0,missed
2.299999999999997,1,-0.4520833333333334,0,missed
3.2333333333333343,1,-0.43263888888888885,1,made
4.583333333333336,1,-0.40451388888888884,1,made
4.833333333333336,1,-0.3993055555555555,1,made
6.416666666666664,1,-0.3663194444444445,0,missed
8.583333333333336,1,-0.3211805555555555,1,made
11.483333333333334,1,-0.26076388888888885,1,made
17.65,2,-0.1322916666666667,1,made
20.95,2,-0.06354166666666668,0,missed
21.28333333333333,2,-0.056597222222222264,1,made
22.316666666666666,2,-0.03506944444444445,0,missed
23.766666666666666,2,-0.004861111111111131,0,missed
23.983333333333334,2,-3.472222222222025e-4,0,missed
25.333333333333336,3,0.02777777777777783,1,made
26.816666666666666,3,0.05868055555555555,0,missed
28.866666666666667,3,0.1013888888888889,1,made
29.416666666666668,3,0.11284722222222225,1,made
29.866666666666667,3,0.12222222222222223,0,missed
30.733333333333334,3,0.1402777777777778,0,missed
31.9,3,0.1645833333333333,0,missed
33.28333333333333,3,0.19340277777777778,0,missed
41.05,4,0.35520833333333335,1,made
45.36666666666667,4,0.4451388888888889,0,missed
45.36666666666667,4,0.4451388888888889,1,made
45.766666666666666,4,0.4534722222222222,1,made
46.85,4,0.4760416666666667,0,missed
47.88333333333333,4,0.49756944444444445,0,missed
0.11666666666666714,1,-0.49756944444444445,0,missed
1.6166666666666671,1,-0.46631944444444445,1,made
2.8500000000000014,1,-0.440625,0,missed
3.316666666666663,1,-0.43090277777777786,1,made
6.783333333333331,1,-0.3586805555555556,1,made
8.233333333333334,1,-0.3284722222222222,1,made
9.299999999999997,1,-0.3062500000000001,1,made
10.75,1,-0.2760416666666667,0,missed
17.583333333333332,2,-0.13368055555555558,1,made
19.95,2,-0.08437500000000002,0,missed
22.983333333333334,2,-0.021180555555555536,1,made
25.366666666666667,3,0.028472222222222232,0,missed
25.7,3,0.03541666666666665,1,made
28.3,3,0.08958333333333335,0,missed
29.45,3,0.11354166666666665,0,missed
30.066666666666666,3,0.12638888888888888,0,missed
31.766666666666666,3,0.16180555555555554,1,made
33.85,3,0.20520833333333333,0,missed
34.266666666666666,3,0.21388888888888888,1,made
39.78333333333333,4,0.32881944444444444,0,missed
40.8,4,0.35000000000000003,1,made
41.18333333333334,4,0.3579861111111111,1,made
42.4,4,0.3833333333333333,0,missed
42.46666666666667,4,0.38472222222222224,0,missed
43.18333333333334,4,0.3996527777777778,0,missed
43.8,4,0.41250000000000003,0,missed
44.65,4,0.4302083333333333,1,made
45.05,4,0.43854166666666666,0,missed
45.53333333333333,4,0.44861111111111107,0,missed
45.583333333333336,4,0.44965277777777773,1,made
47.416666666666664,4,0.48784722222222227,0,missed
47.85,4,0.496875,0,missed
0.23333333333333428,1,-0.49513888888888885,0,missed
1.6833333333333371,1,-0.46493055555555546,0,missed
4.116666666666667,1,-0.4142361111111111,0,missed
4.75,1,-0.4010416666666667,0,missed
5.633333333333333,1,-0.3826388888888889,0,missed
6.916666666666664,1,-0.35590277777777785,0,missed
7.533333333333331,1,-0.3430555555555556,0,missed
8.06666666666667,1,-0.3319444444444444,0,missed
16.416666666666668,2,-0.15798611111111108,1,made
17.25,2,-0.140625,0,missed
17.683333333333334,2,-0.13159722222222223,0,missed
18.083333333333332,2,-0.12326388888888891,0,missed
23.433333333333334,2,-0.01180555555555555,1,made
23.95,2,-0.0010416666666666814,0,missed
27.45,3,0.07187499999999998,1,made
27.883333333333333,3,0.08090277777777777,0,missed
29.65,3,0.1177083333333333,0,missed
30.6,3,0.13750000000000004,1,made
31.816666666666666,3,0.16284722222222223,0,missed
31.95,3,0.165625,0,missed
33.483333333333334,3,0.19756944444444446,1,made
33.71666666666667,3,0.20243055555555556,0,missed
38.733333333333334,4,0.3069444444444444,0,missed
39.95,4,0.33229166666666665,1,made
40.8,4,0.35000000000000003,1,made
41.28333333333333,4,0.3600694444444444,0,missed
41.56666666666666,4,0.3659722222222222,0,missed
42.65,4,0.3885416666666666,1,made
44.9,4,0.4354166666666666,0,missed
46.2,4,0.46249999999999997,0,missed
46.85,4,0.4760416666666667,1,made
47.766666666666666,4,0.49513888888888885,1,made
2.5333333333333314,1,-0.44722222222222224,0,missed
3.4833333333333343,1,-0.42743055555555554,1,made
5.600000000000001,1,-0.3833333333333333,1,made
6.483333333333334,1,-0.36493055555555554,0,missed
6.866666666666667,1,-0.35694444444444445,1,made
8.149999999999999,1,-0.3302083333333334,0,missed
9.399999999999999,1,-0.3041666666666667,1,made
10.483333333333334,1,-0.2815972222222222,0,missed
17.833333333333332,2,-0.12847222222222224,0,missed
19.816666666666666,2,-0.08715277777777779,0,missed
20.166666666666668,2,-0.07986111111111109,0,missed
22.05,2,-0.04062499999999999,1,made
23.1,2,-0.01874999999999997,0,missed
26.166666666666664,3,0.04513888888888884,1,made
29.9,3,0.12291666666666663,0,missed
30.483333333333334,3,0.13506944444444446,0,missed
31.816666666666666,3,0.16284722222222223,1,made
32.25,3,0.171875,0,missed
32.65,3,0.18020833333333333,1,made
0.2666666666666657,1,-0.49444444444444446,0,missed
0.36666666666666714,1,-0.4923611111111111,1,made
1.75,1,-0.4635416666666667,0,missed
3.566666666666663,1,-0.42569444444444454,0,missed
5.183333333333337,1,-0.39201388888888883,1,made
6.366666666666667,1,-0.3673611111111111,1,made
